lat [deg],lon [deg],priority,duration [s]
-85.86570541016702,-175.0713085033105,9.0,11196.0
-84.72938370611793,-173.7916491597326,5.0,5170.0
-85.02200321674016,-176.42421338008324,6.0,7308.0
-84.85920831358291,-173.88416763672143,8.0,10366.0
-84.97976993091397,-176.1558929524303,5.0,5481.0
-85.10553802600977,-175.38823127371225,1.0,5728.0
-85.61233570194894,-175.10549089339554,9.0,10183.0
-84.3722420311344,-175.03413456236973,1.0,10601.0
-83.72944426197097,-175.0526283549695,7.0,6305.0
-84.47602930998364,-175.5921953022802,3.0,13564.0
-85.48278850294416,-163.95589132824094,5.0,7672.0
-84.27670947783808,-164.4477883178489,8.0,13918.0
-83.95337341202881,-164.63424893046567,7.0,6193.0
-83.62299956970224,-165.70626283397718,4.0,14140.0
-84.74134043208811,-163.70809562012226,8.0,7724.0
-84.8494282336441,-166.77872678825057,6.0,4455.0
-85.11955586705852,-165.6798209575026,8.0,5379.0
-85.90888284827886,-165.4317842089399,8.0,11533.0
-83.8638437935183,-166.07778578052407,10.0,12087.0
-83.81970146183237,-163.76478235118617,10.0,13423.0
-85.80858910822745,-155.4760218748973,1.0,14105.0
-86.84716314683978,-154.7175168494155,1.0,6754.0
-84.38516508537143,-156.91856376724857,10.0,8998.0
-85.58865196988496,-153.42720304960346,1.0,10353.0
-84.75581269275162,-155.4195407285523,6.0,12743.0
-84.31827231515022,-154.53319522427563,3.0,4841.0
-85.73117685054507,-155.5586577601054,4.0,5099.0
-84.74892970298392,-155.3708085979977,6.0,4772.0
-86.24554781214721,-151.77628843190325,10.0,13371.0
-84.83235793467446,-154.44923378698118,10.0,10261.0
-85.11593333730009,-145.109497483059,5.0,11883.0
-86.85703692474229,-144.6056570171369,1.0,13623.0
-82.40858824225626,-145.22377278599754,7.0,5600.0
-84.98818821500511,-143.88951531337287,5.0,3830.0
-85.2497034658645,-144.83455574537808,9.0,4488.0
-83.96212809229837,-145.65389045739204,7.0,14365.0
-84.60235646070109,-146.9391913160572,2.0,4870.0
-85.09509860069761,-144.677752999267,8.0,4913.0
-83.39093760481339,-145.49339265588077,1.0,11665.0
-84.99975662404633,-143.8100423453923,10.0,9929.0
-85.06168114206413,-135.4462916910935,4.0,10243.0
-84.5269109155407,-137.02235672784653,3.0,11629.0
-85.5363992821222,-134.87554169147717,5.0,6111.0
-84.49385092414038,-135.39233483958805,3.0,8207.0
-85.07286109392582,-134.83264636835952,3.0,4172.0
-84.34520204694856,-136.14057036978997,10.0,12645.0
-83.82877944201933,-133.4419024871932,5.0,4224.0
-84.95270520423558,-135.76968518726142,3.0,13249.0
-85.03929778948611,-133.83629111837485,7.0,3962.0
-83.40618053729551,-134.0581248387311,4.0,12056.0
-83.8280906056083,-123.6657009022998,6.0,11486.0
-87.10036522877058,-125.88865566480824,9.0,7002.0
-85.19287495001853,-124.06093671891466,6.0,9949.0
-86.68788368254111,-124.08367335635644,1.0,12309.0
-85.13529676658692,-125.39077521871064,7.0,11202.0
-84.10922380276236,-124.711618915838,2.0,11772.0
-85.70290572436602,-126.1308780908288,5.0,13064.0
-85.66621411211482,-125.78388294215438,6.0,9992.0
-85.79771243813919,-125.6992266045604,1.0,4801.0
-86.7049646713458,-123.97130979753192,2.0,8889.0
-85.3711030044999,-114.86473756613265,5.0,7573.0
-84.38664971643833,-115.81689465834306,6.0,7691.0
-85.34631701089599,-114.57454578926712,2.0,13430.0
-85.35499673255435,-116.09479392637324,5.0,7349.0
-83.54385790016275,-115.6430628097158,3.0,6705.0
-84.3612576758314,-115.87303308815248,9.0,6230.0
-85.50994495289581,-115.12324212047564,9.0,10555.0
-83.54359729356459,-113.79603444612172,4.0,7906.0
-84.25718812303732,-115.42268424216508,6.0,14173.0
-84.80735464379006,-115.01685495001414,2.0,12456.0
-88.21278809808383,-106.18039608264264,1.0,4313.0
-85.47449977271945,-106.02736216741384,3.0,12700.0
-85.2997974409301,-105.53626789535598,7.0,5283.0
-84.7587475925727,-104.71252973362716,9.0,3880.0
-84.22325619435838,-103.7640604159784,10.0,12954.0
-84.54141144903816,-102.2948482447209,1.0,13593.0
-85.10282238894935,-105.48833470894932,6.0,4664.0
-85.56780469260984,-105.7804796329546,4.0,13499.0
-85.89260633661848,-105.16501778470248,8.0,10224.0
-83.93693162819699,-104.61476059655756,1.0,7622.0
-87.03973021463389,-95.6201529326844,8.0,10933.0
-85.90513029531603,-94.63175166767212,8.0,10538.0
-84.09382934673913,-94.14249591114532,3.0,13005.0
-84.79012857670635,-94.49349949050008,1.0,13145.0
-85.14697794291918,-94.18486739797136,6.0,13833.0
-85.63173332019366,-95.21097281626412,2.0,8828.0
-84.45823764382915,-96.01639775068972,8.0,13394.0
-86.37072759213498,-94.89530432246406,5.0,4594.0
-85.05589646506407,-96.652193097118,7.0,7473.0
-84.29727367002026,-94.6799423785077,2.0,14180.0
-85.500627674715,-84.47612594222622,1.0,13231.0
-83.04438969728383,-83.64422115836948,2.0,8120.0
-84.95508443155123,-84.8031542508499,9.0,4386.0
-85.59875150225507,-83.9821906438838,5.0,10979.0
-86.59900079931639,-84.61351054695982,10.0,12280.0
-83.7567557909042,-85.08723973496308,6.0,10449.0
-83.49481747753518,-84.59403627917443,3.0,6811.0
-82.97907467034399,-85.72819685461752,6.0,4221.0
-86.12662995530376,-84.96808665477901,1.0,4121.0
-83.9791531724145,-82.35563153567078,6.0,12796.0
-85.49292884510614,-71.90391506414188,4.0,4873.0
-83.67168234051648,-75.50163702377075,3.0,13413.0
-84.51867962849003,-76.26539077090075,1.0,11157.0
-85.78803011496171,-75.43798865324659,8.0,11984.0
-85.29223493809076,-74.63457830079024,5.0,7889.0
-86.85108788930653,-75.11366751516607,5.0,11304.0
-83.80460385475408,-74.45996687660589,9.0,9444.0
-84.16577935888256,-75.40486444082728,5.0,13857.0
-84.0097108907821,-75.67754500047535,6.0,12829.0
-85.62219105603869,-74.73549804146491,3.0,4592.0
-87.46873624629455,-65.31113912720063,2.0,6087.0
-86.09967028026455,-63.845550941643324,10.0,7700.0
-84.6650524839872,-66.00763626195264,9.0,6907.0
-85.89154691648429,-64.35483511726332,6.0,10289.0
-84.36723934816301,-63.92717838555931,8.0,6707.0
-85.29961927217073,-63.70017500151276,9.0,5227.0
-85.79973419946022,-65.05969829432168,9.0,3956.0
-84.97592097800604,-64.6844968979764,8.0,5932.0
-83.15279356126848,-65.66914910616009,4.0,7985.0
-84.14045111412626,-63.270025164490704,9.0,4982.0
-85.54034483686489,-53.10970843972847,7.0,12990.0
-85.1121041897622,-55.17551802039697,5.0,10276.0
-85.21260321245485,-56.66795340832762,2.0,11135.0
-86.02484466271827,-55.5054104572393,9.0,5406.0
-86.25915932028282,-55.395510162057896,6.0,4298.0
-83.60960820224136,-55.13036882343297,7.0,8146.0
-83.48806912777229,-56.30300980467607,10.0,8495.0
-86.11129150588243,-57.541859624832696,4.0,5485.0
-86.19338738987223,-54.57757424060894,10.0,7872.0
-84.38597302425394,-54.63208324487963,10.0,11890.0
-85.54163404208109,-44.456758180651136,8.0,11834.0
-85.82283611729993,-44.75195857813311,4.0,9139.0
-84.14336548306493,-45.49381607485256,2.0,6479.0
-85.97925566651998,-44.83190818917413,1.0,12031.0
-86.07341297202066,-48.02757804100233,1.0,9210.0
-84.00511791572583,-45.480201366243314,5.0,9862.0
-85.01006125747232,-44.57410503076757,4.0,5526.0
-85.88838127611041,-45.47246354286588,7.0,9789.0
-83.9401560256475,-46.79459510255421,2.0,10562.0
-84.67493941381889,-44.45518968902487,10.0,4727.0
-85.11064403173135,-35.85884053239255,1.0,14102.0
-83.69821094050823,-33.77880845627776,6.0,5906.0
-83.24016726558335,-34.95748510112393,6.0,7923.0
-83.4734506961876,-33.63104152270533,8.0,11822.0
-85.50570067195335,-34.82031992860809,5.0,6426.0
-83.49721578043203,-35.21297324222029,9.0,4808.0
-85.62914320208716,-34.135207810994274,5.0,8445.0
-83.77579110356157,-34.120273408067604,8.0,5239.0
-85.3594780722609,-33.4889710328172,8.0,10834.0
-86.0913254094741,-36.59736380235323,7.0,12564.0
-84.04651203449488,-24.71936886201458,5.0,6260.0
-85.2412315880602,-23.57482600434994,10.0,10489.0
-85.06019600370365,-24.97785786690612,2.0,9816.0
-85.67018548987812,-23.85484677661121,6.0,4596.0
-84.42271445957688,-24.996991264443626,1.0,8615.0
-86.15677585315623,-24.771008842552963,4.0,7899.0
-85.54834081159764,-24.896335339293785,6.0,9291.0
-85.49286384371514,-25.516349549073084,7.0,8297.0
-84.39736824214516,-25.14974185308545,9.0,5875.0
-83.75903391499095,-25.12111514597528,3.0,6521.0
-82.64464625754779,-14.500542396700803,10.0,9840.0
