lat [deg],lon [deg],priority,duration [s]
35.6897,139.6922,6.0,6678.0
-6.175,106.8275,8.0,13655.0
28.61,77.23,4.0,12199.0
23.13,113.26,3.0,12428.0
19.0761,72.8775,4.0,6976.0
14.5958,120.9772,1.0,7687.0
31.2286,121.4747,7.0,9481.0
-23.55,-46.6333,2.0,5546.0
37.56,126.99,6.0,9804.0
19.4333,-99.1333,10.0,9530.0
30.0444,31.2358,10.0,7350.0
40.6943,-73.9249,4.0,10172.0
23.7639,90.3889,10.0,7137.0
39.9067,116.3975,10.0,4641.0
22.5675,88.37,1.0,10412.0
13.7525,100.4942,1.0,4881.0
22.5415,114.0596,1.0,12377.0
55.7558,37.6172,4.0,5945.0
-34.6033,-58.3817,8.0,9925.0
6.455,3.3841,2.0,10547.0
41.0136,28.955,6.0,11650.0
24.86,67.01,3.0,11609.0
12.9789,77.5917,8.0,7515.0
10.7756,106.7019,7.0,7704.0
34.6939,135.5022,9.0,11664.0
30.66,104.0633,3.0,5580.0
35.6892,51.3889,1.0,11511.0
-4.3219,15.3119,2.0,8761.0
-22.9111,-43.2056,4.0,5131.0
13.0825,80.275,2.0,4779.0
34.2611,108.9422,10.0,9316.0
31.5497,74.3436,8.0,6861.0
29.5637,106.5504,7.0,4611.0
34.1141,-118.4068,8.0,8557.0
38.874,115.464,1.0,7642.0
51.5072,-0.1275,4.0,12264.0
48.8567,2.3522,3.0,9495.0
35.1038,118.3564,10.0,4800.0
23.021,113.752,1.0,9527.0
17.3617,78.4747,7.0,5598.0
39.1336,117.2054,6.0,4323.0
-12.06,-77.0375,7.0,7227.0
30.5934,114.3046,8.0,8111.0
32.9987,112.5292,7.0,8935.0
30.267,120.153,4.0,3803.0
23.0214,113.1216,2.0,9238.0
35.1833,136.9,3.0,6508.0
34.204,117.284,2.0,13006.0
-8.8383,13.2344,4.0,11637.0
33.625,114.6418,7.0,14365.0
25.831,114.933,5.0,10854.0
3.1478,101.6953,4.0,11250.0
35.2343,115.4796,10.0,8366.0
24.8744,118.6757,6.0,11807.0
-26.2044,28.0456,9.0,14172.0
41.8375,-87.6866,2.0,13751.0
32.0608,118.7789,9.0,7245.0
35.4151,116.5871,9.0,3870.0
21.0,105.85,2.0,5816.0
18.5203,73.8567,6.0,8682.0
32.89,115.814,7.0,11632.0
23.0225,72.5714,1.0,4391.0
4.7111,-74.0722,9.0,12960.0
41.8025,123.4281,4.0,7573.0
-6.8161,39.2803,6.0,5015.0
15.6,32.5,1.0,4589.0
34.415,115.656,4.0,6005.0
22.3,114.2,10.0,5211.0
38.3047,116.8387,4.0,11928.0
24.6333,46.7167,9.0,4381.0
-33.4372,-70.6506,7.0,8470.0
37.0717,114.5048,2.0,10855.0
33.014,114.022,1.0,9454.0
22.335,91.8325,9.0,14152.0
-7.2458,112.7378,5.0,7730.0
21.2701,110.3575,7.0,13382.0
27.284,105.292,5.0,13178.0
33.3482,120.1626,2.0,4219.0
26.894,112.572,6.0,4148.0
27.722,107.031,3.0,8466.0
27.2395,111.4679,5.0,9174.0
21.1702,72.8311,10.0,13641.0
28.4551,117.9431,8.0,6578.0
32.149,114.091,7.0,10759.0
40.4169,-3.7033,10.0,13396.0
33.3153,44.3661,7.0,7280.0
21.6627,110.9255,2.0,8512.0
23.551,116.3727,3.0,9199.0
25.784,-80.2101,3.0,6246.0
1.3,103.8,5.0,8672.0
29.786,-95.3885,4.0,9985.0
36.4559,115.9852,6.0,7802.0
30.4537,114.8724,6.0,9644.0
38.9,121.6,5.0,9874.0
32.7935,-96.7667,8.0,7361.0
36.0669,120.3827,7.0,9187.0
22.654,110.181,10.0,11100.0
4.05,9.7,5.0,13278.0
25.491,103.796,2.0,6686.0
35.3036,113.9268,2.0,10859.0
40.0077,-75.1339,7.0,13009.0
